"sigma1","iota1","sigma2","iota2","sigma3","iota3"
0.5,0.02,0.915692193816531,0.74,0.0843078061834695,0.74
0.51,0.02,0.91069219381653,0.748660254037844,0.0793078061834695,0.731339745962156
0.52,0.02,0.905692193816531,0.757320508075689,0.0743078061834695,0.722679491924311
0.53,0.02,0.90069219381653,0.765980762113533,0.0693078061834695,0.714019237886467
0.54,0.02,0.895692193816531,0.774641016151378,0.0643078061834695,0.705358983848622
0.55,0.02,0.89069219381653,0.783301270189222,0.0593078061834695,0.696698729810778
0.56,0.02,0.885692193816531,0.791961524227066,0.0543078061834695,0.688038475772934
0.57,0.02,0.88069219381653,0.800621778264911,0.0493078061834695,0.679378221735089
0.58,0.02,0.875692193816531,0.809282032302755,0.0443078061834695,0.670717967697245
0.59,0.02,0.870692193816531,0.817942286340599,0.0393078061834695,0.662057713659401
0.6,0.02,0.865692193816531,0.826602540378444,0.0343078061834695,0.653397459621556
0.61,0.02,0.860692193816531,0.835262794416288,0.0293078061834695,0.644737205583712
0.62,0.02,0.85569219381653,0.843923048454133,0.0243078061834695,0.636076951545867
0.63,0.02,0.85069219381653,0.852583302491977,0.0193078061834695,0.627416697508023
0.64,0.02,0.84569219381653,0.861243556529821,0.0143078061834695,0.618756443470179
0.65,0.02,0.84069219381653,0.869903810567666,0.00930780618346949,0.610096189432334
0.66,0.02,0.83569219381653,0.87856406460551,0.00430780618346949,0.60143593539449
0.32,0.03,0.997031939778686,0.579115427318801,0.182968060221314,0.890884572681199
0.33,0.03,0.992031939778686,0.587775681356645,0.177968060221314,0.882224318643354
0.34,0.03,0.987031939778686,0.59643593539449,0.172968060221314,0.87356406460551
0.35,0.03,0.982031939778686,0.605096189432334,0.167968060221314,0.864903810567666
0.36,0.03,0.977031939778686,0.613756443470179,0.162968060221314,0.856243556529821
0.37,0.03,0.972031939778686,0.622416697508023,0.157968060221314,0.847583302491977
0.38,0.03,0.967031939778686,0.631076951545867,0.152968060221314,0.838923048454133
0.39,0.03,0.962031939778686,0.639737205583712,0.147968060221314,0.830262794416288
0.4,0.03,0.957031939778686,0.648397459621556,0.142968060221314,0.821602540378444
0.41,0.03,0.952031939778686,0.6570577136594,0.137968060221314,0.8129422863406
0.42,0.03,0.947031939778686,0.665717967697245,0.132968060221314,0.804282032302755
0.43,0.03,0.942031939778686,0.674378221735089,0.127968060221314,0.795621778264911
0.44,0.03,0.937031939778686,0.683038475772934,0.122968060221314,0.786961524227066
0.45,0.03,0.932031939778686,0.691698729810778,0.117968060221314,0.778301270189222
0.46,0.03,0.927031939778686,0.700358983848622,0.112968060221314,0.769641016151378
0.47,0.03,0.922031939778686,0.709019237886467,0.107968060221314,0.760980762113533
0.48,0.03,0.917031939778686,0.717679491924311,0.102968060221314,0.752320508075689
0.49,0.03,0.912031939778686,0.726339745962156,0.0979680602213139,0.743660254037844
0.5,0.03,0.907031939778686,0.735,0.0929680602213139,0.735
0.51,0.03,0.902031939778686,0.743660254037844,0.0879680602213139,0.726339745962156
0.52,0.03,0.897031939778686,0.752320508075689,0.0829680602213139,0.717679491924311
0.53,0.03,0.892031939778686,0.760980762113533,0.0779680602213139,0.709019237886467
0.54,0.03,0.887031939778686,0.769641016151378,0.0729680602213139,0.700358983848622
0.55,0.03,0.882031939778686,0.778301270189222,0.0679680602213139,0.691698729810778
0.56,0.03,0.877031939778686,0.786961524227066,0.0629680602213138,0.683038475772934
0.57,0.03,0.872031939778686,0.795621778264911,0.0579680602213138,0.674378221735089
0.58,0.03,0.867031939778686,0.804282032302755,0.0529680602213139,0.665717967697245
0.59,0.03,0.862031939778686,0.8129422863406,0.0479680602213139,0.6570577136594
0.6,0.03,0.857031939778686,0.821602540378444,0.0429680602213139,0.648397459621556
0.61,0.03,0.852031939778686,0.830262794416288,0.0379680602213139,0.639737205583712
0.62,0.03,0.847031939778686,0.838923048454133,0.0329680602213139,0.631076951545867
0.63,0.03,0.842031939778686,0.847583302491977,0.0279680602213139,0.622416697508023
0.64,0.03,0.837031939778686,0.856243556529821,0.0229680602213139,0.613756443470179
0.65,0.03,0.832031939778686,0.864903810567666,0.0179680602213139,0.605096189432334
0.66,0.03,0.827031939778686,0.87356406460551,0.0129680602213139,0.59643593539449
0.67,0.03,0.822031939778686,0.882224318643355,0.00796806022131386,0.587775681356645
0.68,0.03,0.817031939778686,0.890884572681199,0.00296806022131385,0.579115427318801
0.3,0.04,0.998371685740842,0.556794919243112,0.201628314259158,0.903205080756888
0.31,0.04,0.993371685740842,0.565455173280957,0.196628314259158,0.894544826719043
0.32,0.04,0.988371685740842,0.574115427318801,0.191628314259158,0.885884572681199
0.33,0.04,0.983371685740842,0.582775681356645,0.186628314259158,0.877224318643355
0.34,0.04,0.978371685740842,0.59143593539449,0.181628314259158,0.86856406460551
0.35,0.04,0.973371685740842,0.600096189432334,0.176628314259158,0.859903810567666
0.36,0.04,0.968371685740842,0.608756443470179,0.171628314259158,0.851243556529821
0.37,0.04,0.963371685740842,0.617416697508023,0.166628314259158,0.842583302491977
0.38,0.04,0.958371685740842,0.626076951545867,0.161628314259158,0.833923048454133
0.39,0.04,0.953371685740842,0.634737205583712,0.156628314259158,0.825262794416288
0.4,0.04,0.948371685740842,0.643397459621556,0.151628314259158,0.816602540378444
0.41,0.04,0.943371685740842,0.652057713659401,0.146628314259158,0.807942286340599
0.42,0.04,0.938371685740842,0.660717967697245,0.141628314259158,0.799282032302755
0.43,0.04,0.933371685740842,0.669378221735089,0.136628314259158,0.790621778264911
0.44,0.04,0.928371685740842,0.678038475772934,0.131628314259158,0.781961524227066
0.45,0.04,0.923371685740842,0.686698729810778,0.126628314259158,0.773301270189222
0.46,0.04,0.918371685740842,0.695358983848622,0.121628314259158,0.764641016151377
0.47,0.04,0.913371685740842,0.704019237886467,0.116628314259158,0.755980762113533
0.48,0.04,0.908371685740842,0.712679491924311,0.111628314259158,0.747320508075689
0.49,0.04,0.903371685740842,0.721339745962156,0.106628314259158,0.738660254037844
0.5,0.04,0.898371685740842,0.73,0.101628314259158,0.73
0.51,0.04,0.893371685740842,0.738660254037844,0.0966283142591582,0.721339745962156
0.52,0.04,0.888371685740842,0.747320508075689,0.0916283142591582,0.712679491924311
0.53,0.04,0.883371685740842,0.755980762113533,0.0866283142591582,0.704019237886467
0.54,0.04,0.878371685740842,0.764641016151378,0.0816283142591582,0.695358983848622
0.55,0.04,0.873371685740842,0.773301270189222,0.0766283142591582,0.686698729810778
0.56,0.04,0.868371685740842,0.781961524227066,0.0716283142591582,0.678038475772934
0.57,0.04,0.863371685740842,0.790621778264911,0.0666283142591582,0.669378221735089
0.58,0.04,0.858371685740842,0.799282032302755,0.0616283142591583,0.660717967697245
0.59,0.04,0.853371685740842,0.807942286340599,0.0566283142591583,0.652057713659401
0.6,0.04,0.848371685740842,0.816602540378444,0.0516283142591583,0.643397459621556
0.61,0.04,0.843371685740842,0.825262794416288,0.0466283142591583,0.634737205583712
0.62,0.04,0.838371685740842,0.833923048454133,0.0416283142591583,0.626076951545867
0.63,0.04,0.833371685740842,0.842583302491977,0.0366283142591582,0.617416697508023
0.64,0.04,0.828371685740842,0.851243556529821,0.0316283142591582,0.608756443470179
0.65,0.04,0.823371685740842,0.859903810567666,0.0266283142591582,0.600096189432334
0.66,0.04,0.818371685740842,0.86856406460551,0.0216283142591582,0.59143593539449
0.67,0.04,0.813371685740842,0.877224318643355,0.0166283142591582,0.582775681356645
0.68,0.04,0.808371685740842,0.885884572681199,0.0116283142591582,0.574115427318801
0.69,0.04,0.803371685740842,0.894544826719043,0.00662831425915822,0.565455173280957
0.7,0.04,0.798371685740842,0.903205080756888,0.00162831425915821,0.556794919243112
0.28,0.05,0.999711431702997,0.534474411167424,0.220288568297003,0.915525588832577
0.29,0.05,0.994711431702997,0.543134665205268,0.215288568297003,0.906865334794732
0.3,0.05,0.989711431702997,0.551794919243112,0.210288568297003,0.898205080756888
0.31,0.05,0.984711431702997,0.560455173280957,0.205288568297003,0.889544826719043
0.32,0.05,0.979711431702997,0.569115427318801,0.200288568297003,0.880884572681199
0.33,0.05,0.974711431702997,0.577775681356645,0.195288568297003,0.872224318643355
0.34,0.05,0.969711431702997,0.58643593539449,0.190288568297003,0.86356406460551
0.35,0.05,0.964711431702997,0.595096189432334,0.185288568297003,0.854903810567666
0.36,0.05,0.959711431702997,0.603756443470179,0.180288568297003,0.846243556529821
0.37,0.05,0.954711431702997,0.612416697508023,0.175288568297003,0.837583302491977
0.38,0.05,0.949711431702997,0.621076951545867,0.170288568297003,0.828923048454133
0.39,0.05,0.944711431702997,0.629737205583712,0.165288568297003,0.820262794416288
0.4,0.05,0.939711431702997,0.638397459621556,0.160288568297003,0.811602540378444
0.41,0.05,0.934711431702997,0.647057713659401,0.155288568297003,0.802942286340599
0.42,0.05,0.929711431702997,0.655717967697245,0.150288568297003,0.794282032302755
0.43,0.05,0.924711431702997,0.664378221735089,0.145288568297003,0.785621778264911
0.44,0.05,0.919711431702997,0.673038475772934,0.140288568297003,0.776961524227066
0.45,0.05,0.914711431702997,0.681698729810778,0.135288568297003,0.768301270189222
0.46,0.05,0.909711431702997,0.690358983848622,0.130288568297003,0.759641016151378
0.47,0.05,0.904711431702997,0.699019237886467,0.125288568297003,0.750980762113533
0.48,0.05,0.899711431702997,0.707679491924311,0.120288568297003,0.742320508075689
0.49,0.05,0.894711431702997,0.716339745962156,0.115288568297003,0.733660254037844
0.5,0.05,0.889711431702997,0.725,0.110288568297003,0.725
0.51,0.05,0.884711431702997,0.733660254037844,0.105288568297003,0.716339745962156
0.52,0.05,0.879711431702997,0.742320508075689,0.100288568297003,0.707679491924311
